날짜,경상수지,원/미국달러(매매기준율),원/일본엔(100엔),원/유로,외환보유액,생산자물가지수,소비자물가지수,수출물가지수,수입물가지수,주택매매가격지수,주택전세가격지수,전산업경기지수,제조업경기지수,비제조업경기지수,국고채(3년),국고채(10년),"회사채(3년,AA-)",한국은행기준금리,미국(DowJones),미국(NASDAQ),EuroSTOXX,독일(DAX),일본(NIKKEI),싱가포르(STI),홍콩(항셍),중국(SHCOMP),뉴스심리지수,원화자금이체,선행종합지수1),동행종합지수2),설비투자지수,한국소비자물가,중국소비자물가,일본소비자물가,미국소비자물가,한국(KOSPI)
1,2302.7,1038.2,1005.7,1363.7,199699277.0,85.8,73.6,117.2,83.2,51.6,49.1,71.0,76.0,66.0,3.7,4.4,4.1,3.3,10489.9,2062.4,2984.6,4254.9,11387.6,2018.0,13721.7,1191.8,106.4,2477643.0,57.2,61.4,62.1,85.2,86.1,100.5,87.5,932.7
2,1819.9,1022.4,974.8,1333.9,202162426.0,86.0,73.9,115.8,83.1,51.7,49.2,76.0,80.0,74.0,4.2,4.9,4.6,3.3,10766.2,2051.7,3058.3,4350.5,11740.6,2033.9,14195.4,1306.0,110.6,2066605.0,57.5,61.4,58.9,85.6,87.7,100.2,88.0,1011.4
3,1735.9,1007.5,957.1,1328.6,205447299.0,86.0,74.3,114.2,84.4,51.9,49.4,83.0,85.0,81.0,4.0,4.8,4.5,3.3,10503.8,1999.2,3055.7,4348.8,11669.0,2056.6,13516.9,1181.2,104.0,2512936.0,57.9,61.8,70.3,86.1,86.9,100.5,88.7,965.7
4,877.4,1010.9,942.6,1308.8,206376404.0,86.3,74.4,113.4,85.5,52.2,49.6,84.0,88.0,81.0,3.9,4.7,4.3,3.3,10192.5,1921.7,2930.1,4184.8,11008.9,2043.9,13909.0,1159.2,100.9,2218395.0,58.1,61.9,64.7,86.2,86.6,100.6,89.2,911.3
5,440.4,1002.2,939.4,1271.8,206100363.0,85.7,74.3,109.9,83.6,52.5,49.6,80.0,83.0,78.0,3.7,4.4,4.1,3.3,10467.5,2068.2,3076.7,4460.6,11276.6,2081.8,13867.1,1060.7,101.9,2257815.4,58.1,62.1,66.9,86.1,86.4,100.7,89.2,970.2
6,882.9,1010.9,930.1,1229.1,204985923.0,85.3,74.1,110.4,84.8,52.9,49.7,78.0,82.0,76.0,3.8,4.5,4.2,3.3,10275.0,2057.0,3181.5,4586.3,11584.0,2161.3,14201.1,1080.9,102.0,2388332.3,58.1,62.3,71.1,85.8,85.8,100.3,89.2,1008.2
7,877.6,1037.4,927.2,1249.5,205684605.0,85.8,74.4,112.9,87.1,53.4,49.8,76.0,77.0,76.0,4.1,4.9,4.5,3.3,10640.9,2184.8,3326.5,4886.5,11899.6,2288.4,14881.0,1083.0,108.8,2543300.2,58.4,62.5,70.0,86.2,85.8,100.2,89.6,1111.3
8,1312.6,1021.2,921.8,1254.5,206712212.0,86.1,74.6,111.6,87.9,53.6,49.9,76.0,80.0,72.0,4.3,5.1,4.8,3.3,10481.6,2152.1,3263.8,4829.7,12413.6,2220.3,14903.6,1162.8,97.8,2656379.0,58.7,62.8,63.4,86.4,85.9,100.3,90.1,1083.3
9,-168.2,1029.3,927.1,1262.1,206731180.0,86.5,75.0,112.7,89.2,53.7,50.3,79.0,81.0,78.0,4.5,5.2,4.9,3.3,10568.7,2151.7,3428.5,5044.1,13574.3,2226.8,15428.5,1155.6,109.4,2600637.1,59.0,63.0,61.3,86.8,86.5,100.6,91.2,1221.0
10,435.6,1046.3,910.9,1258.0,207307269.0,86.7,74.9,113.4,88.7,53.7,50.6,82.0,86.0,79.0,4.8,5.4,5.2,3.5,10440.1,2120.3,3320.2,4929.1,13606.5,2143.4,14386.4,1092.8,105.7,2621774.7,59.3,63.3,66.6,86.7,86.9,100.6,91.4,1158.1
11,63.5,1041.4,880.1,1229.0,208230252.0,86.4,74.6,110.6,86.7,53.7,50.7,83.0,88.0,79.0,5.1,5.7,5.5,3.5,10805.9,2232.8,3447.1,5193.4,14872.2,2224.6,14937.1,1099.3,117.1,2861358.8,59.6,63.8,68.7,86.3,86.6,100.2,90.6,1297.4
12,1627.1,1024.2,863.9,1214.0,210390703.0,86.2,74.8,108.3,85.8,53.8,50.8,87.0,87.0,88.0,5.1,5.6,5.5,3.8,10717.5,2205.3,3578.9,5408.3,16111.4,2280.8,14876.4,1161.1,115.3,2961058.6,60.0,64.2,75.6,86.6,87.0,100.3,90.3,1379.4
13,1044.2,987.0,854.3,1194.8,216932905.0,86.5,75.2,105.6,85.0,54.0,51.0,87.0,87.0,87.0,5.0,5.6,5.5,3.8,10864.9,2305.8,3691.4,5674.2,16649.8,2348.9,15753.1,1258.1,112.1,2696470.5,60.4,64.7,66.1,87.1,88.1,100.4,90.9,1399.8
14,-1591.5,970.2,822.4,1159.7,215949925.0,86.5,75.4,103.5,84.1,54.2,51.2,82.0,81.0,84.0,4.9,5.3,5.3,4.0,10993.4,2281.4,3774.5,5796.0,16205.4,2416.9,15918.5,1299.0,100.8,2558698.0,60.6,64.8,67.9,87.3,88.5,100.1,91.1,1371.6
15,-661.3,975.1,831.3,1172.8,217344329.0,86.4,75.8,103.5,84.4,54.6,51.6,85.0,90.0,82.0,4.9,5.4,5.3,4.0,11109.3,2339.8,3853.7,5970.1,17059.7,2465.8,15805.0,1298.3,99.8,2864499.4,60.7,65.1,82.0,87.8,87.7,100.3,91.6,1359.6
16,-794.8,954.4,814.8,1169.9,222890019.0,86.6,75.9,102.3,85.6,55.0,51.9,87.0,88.0,87.0,5.0,5.5,5.2,4.0,11367.1,2322.6,3839.9,6009.9,16906.2,2548.4,16661.3,1440.2,98.8,2591206.5,60.7,65.3,75.9,87.9,87.9,100.5,92.4,1419.7
17,-164.0,941.4,843.0,1201.7,224689153.0,86.9,76.1,102.0,87.2,55.6,52.1,83.0,83.0,83.0,4.8,5.2,5.1,4.0,11168.3,2178.9,3637.2,5692.9,15467.3,2338.1,15857.9,1641.3,93.1,2659760.2,60.9,65.7,78.2,88.1,87.8,100.8,92.9,1317.7
18,2103.0,955.2,833.0,1208.7,224357276.0,86.7,75.9,103.5,88.0,55.9,52.1,82.0,83.0,81.0,4.9,5.3,5.2,4.3,11150.2,2172.1,3648.9,5683.3,15505.2,2398.4,16267.6,1672.2,90.3,2780687.5,60.8,65.7,74.6,87.9,87.4,100.8,93.1,1295.2
19,-833.4,950.2,821.4,1206.2,225715888.0,87.0,76.2,103.5,89.3,56.0,52.2,77.0,76.0,77.0,4.9,5.2,5.2,4.3,11185.7,2091.5,3691.9,5682.0,15456.8,2401.8,16971.3,1612.7,88.3,2439656.6,60.7,65.4,71.0,88.2,87.1,100.5,93.3,1297.8
20,-892.6,960.7,829.7,1230.6,227024881.0,87.6,76.6,105.6,90.9,56.1,52.3,72.0,71.0,73.0,4.8,4.9,5.1,4.5,11381.2,2183.8,3808.7,5859.6,16140.8,2452.5,17392.3,1658.6,92.3,2633197.8,60.7,65.6,75.9,88.7,87.4,101.2,93.5,1352.7
21,996.1,953.7,814.3,1214.9,228224315.0,87.8,76.9,104.9,87.7,56.4,52.7,81.0,83.0,79.0,4.7,4.9,5.0,4.5,11679.1,2258.4,3899.4,6004.3,16127.6,2523.0,17543.1,1752.4,101.6,2613272.9,61.1,66.0,75.9,89.0,87.8,101.2,93.1,1371.4
22,811.0,954.2,803.2,1202.4,229461022.0,87.0,76.5,103.7,86.6,57.2,53.3,84.0,85.0,82.0,4.6,4.8,4.9,4.5,12080.7,2366.7,4004.8,6268.9,16399.4,2646.4,18324.4,1838.0,98.4,2495318.2,61.5,66.9,73.6,88.6,87.9,101.0,92.6,1364.6
23,2637.4,936.2,798.0,1205.3,234256939.0,86.6,76.1,101.2,85.3,58.9,53.8,83.0,83.0,83.0,4.7,4.9,5.1,4.5,12221.9,2431.8,3987.2,6309.2,16274.3,2769.4,18960.5,2099.3,99.2,2862333.0,61.9,67.3,78.6,88.1,88.2,100.5,92.4,1432.2
24,-559.7,925.8,790.2,1222.8,238956116.0,86.5,76.3,100.1,85.3,60.0,54.1,84.0,83.0,85.0,4.8,5.0,5.2,4.5,12463.2,2415.3,4119.9,6596.9,17225.8,2918.6,19964.7,2675.5,98.2,2734038.1,62.0,67.6,81.5,88.4,89.4,100.6,92.6,1434.5
25,1028.7,936.4,777.9,1217.0,240228757.0,86.5,76.5,99.6,83.8,60.5,54.3,79.0,80.0,79.0,5.0,5.0,5.3,4.5,12621.7,2463.9,4178.5,6789.1,17383.4,3044.2,20106.4,2786.3,91.8,2762568.2,62.1,67.8,77.1,88.6,90.0,100.4,92.8,1360.2
26,1597.6,937.0,776.8,1225.1,242812021.0,86.6,77.0,99.2,85.4,60.8,54.5,81.0,80.0,82.0,4.9,5.0,5.3,4.5,12268.6,2416.2,4087.1,6715.4,17604.1,3034.4,19651.5,2881.1,96.4,2564254.6,62.4,68.0,76.1,89.2,90.9,99.9,93.3,1417.3
27,137.5,943.3,804.8,1249.4,243915438.0,87.0,77.5,100.1,88.2,60.9,54.7,85.0,84.0,85.0,4.8,4.9,5.2,4.5,12354.4,2421.6,4181.0,6917.0,17287.7,3160.9,19800.9,3184.0,97.5,3028756.8,62.5,68.3,87.5,89.7,90.7,100.2,94.2,1452.6
28,655.6,931.5,783.7,1257.7,247259663.0,87.6,77.8,100.4,89.2,61.0,54.9,87.0,87.0,88.0,4.9,5.1,5.3,4.5,13062.9,2525.1,4392.3,7408.9,17400.4,3285.7,20319.0,3841.3,106.3,3054065.8,62.8,68.6,86.0,90.0,90.6,100.5,94.8,1542.2
